iter	Passed	Remaining
0	145	145345
1	152	75859
2	157	52195
3	161	40223
4	165	32906
5	168	27996
6	172	24479
7	175	21743
8	178	19616
9	180	17908
10	183	16491
11	186	15330
12	188	14337
13	191	13494
14	194	12790
15	197	12149
16	200	11591
17	203	11105
18	206	10664
19	209	10261
20	212	9890
21	215	9557
22	217	9243
23	220	8963
24	223	8700
25	225	8456
26	228	8239
27	231	8036
28	234	7840
29	236	7657
30	239	7489
31	242	7330
32	244	7165
33	247	7026
34	250	6892
35	252	6767
36	255	6650
37	258	6539
38	261	6431
39	263	6329
40	266	6236
41	269	6144
42	272	6064
43	275	5986
44	278	5905
45	280	5826
46	283	5756
47	287	5694
48	289	5625
49	292	5561
50	295	5498
51	298	5436
52	300	5375
53	303	5319
54	306	5265
55	309	5211
56	311	5158
57	314	5112
58	317	5069
59	321	5033
60	324	4990
61	327	4948
62	329	4906
63	332	4867
64	335	4828
65	338	4789
66	341	4752
67	344	4716
68	346	4680
69	349	4644
70	352	4610
71	355	4575
72	357	4545
73	360	4513
74	363	4481
75	366	4451
76	368	4421
77	371	4393
78	374	4365
79	377	4337
80	379	4310
81	382	4285
82	385	4259
83	388	4236
84	391	4213
85	394	4191
86	397	4167
87	399	4143
88	402	4124
89	405	4102
90	408	4082
91	411	4061
92	414	4039
93	417	4019
94	419	3999
95	422	3980
96	425	3960
97	428	3940
98	430	3921
99	433	3902
100	436	3883
101	439	3867
102	442	3849
103	444	3833
104	447	3815
105	450	3800
106	453	3785
107	456	3769
108	459	3753
109	462	3738
110	464	3722
111	467	3707
112	470	3693
113	473	3677
114	475	3662
115	478	3647
116	481	3632
117	483	3617
118	486	3602
119	489	3588
120	492	3574
121	494	3560
122	497	3547
123	500	3535
124	503	3523
125	505	3509
126	508	3496
127	511	3483
128	514	3471
129	516	3458
130	519	3446
131	522	3434
132	525	3423
133	528	3412
134	530	3400
135	533	3391
136	536	3380
137	539	3370
138	542	3359
139	545	3348
140	548	3338
141	550	3327
142	553	3317
143	556	3307
144	559	3296
145	561	3286
146	564	3276
147	567	3266
148	570	3256
149	572	3246
150	575	3237
151	578	3227
152	581	3217
153	584	3210
154	587	3202
155	590	3192
156	592	3183
157	595	3175
158	598	3165
159	601	3156
160	604	3148
161	606	3138
162	609	3129
163	612	3120
164	615	3114
165	618	3105
166	621	3097
167	623	3089
168	626	3082
169	629	3075
170	632	3067
171	635	3058
172	638	3050
173	640	3042
174	643	3035
175	646	3027
176	649	3018
177	651	3010
178	654	3002
179	657	2994
180	660	2986
181	662	2978
182	665	2970
183	668	2962
184	670	2954
185	673	2947
186	676	2939
187	678	2929
188	681	2923
189	684	2916
190	686	2909
191	689	2903
192	692	2895
193	695	2890
194	698	2884
195	700	2875
196	704	2870
197	707	2864
198	710	2858
199	712	2851
200	715	2845
201	718	2840
202	721	2833
203	724	2826
204	727	2820
205	730	2813
206	733	2808
207	735	2802
208	739	2796
209	742	2791
210	744	2784
211	747	2779
212	750	2773
213	753	2767
214	756	2762
215	759	2756
216	762	2749
217	765	2745
218	768	2739
219	771	2734
220	774	2730
221	777	2725
222	780	2720
223	783	2714
224	786	2710
225	789	2703
226	791	2696
227	794	2690
228	797	2686
229	800	2680
230	803	2676
231	807	2671
232	810	2667
233	813	2662
234	815	2655
235	818	2650
236	821	2645
237	824	2638
238	826	2632
239	830	2629
240	833	2625
241	836	2619
242	839	2614
243	842	2609
244	845	2604
245	847	2598
246	850	2593
247	853	2588
248	856	2583
249	859	2578
250	862	2573
251	865	2567
252	867	2561
253	869	2554
254	872	2548
255	874	2542
256	877	2535
257	879	2530
258	882	2525
259	885	2520
260	888	2514
261	890	2508
262	893	2503
263	896	2499
264	899	2494
265	901	2488
266	904	2484
267	908	2480
268	911	2476
269	914	2472
270	916	2465
271	919	2461
272	922	2457
273	925	2450
274	927	2445
275	929	2439
276	932	2432
277	934	2426
278	936	2420
279	939	2414
280	941	2409
281	944	2405
282	948	2401
283	950	2397
284	953	2393
285	956	2388
286	960	2385
287	963	2381
288	966	2376
289	968	2372
290	971	2366
291	974	2361
292	976	2356
293	978	2350
294	981	2346
295	984	2341
296	987	2336
297	989	2331
298	991	2325
299	994	2321
300	997	2317
301	1000	2312
302	1002	2306
303	1005	2301
304	1007	2296
305	1010	2291
306	1012	2285
307	1015	2281
308	1018	2277
309	1020	2271
310	1023	2266
311	1025	2261
312	1028	2256
313	1031	2252
